image,index,method,n_dets,total_ms,tp,fp,ignored,valid_gt,small_gt,small_tp,recall_small,precision
0000006_00159_d_0000001.jpg,0,F640,48,17.951600006199442,37,10,0,69,36,10,0.2777777777777778,0.7872340425531915
0000006_00159_d_0000001.jpg,0,F1280,72,47.1415999927558,44,25,0,69,36,17,0.4722222222222222,0.6376811594202898
0000006_00159_d_0000001.jpg,0,DensK1,80,33.895200002007186,47,27,0,69,36,20,0.5555555555555556,0.6351351351351351
0000006_00159_d_0000001.jpg,0,UnifAll,100,142.58840000547934,48,45,0,69,36,22,0.6111111111111112,0.5161290322580645
0000006_00159_d_0000001.jpg,0,SAHI640,88,553.1231999921147,35,47,0,69,36,13,0.3611111111111111,0.4268292682926829
0000006_00611_d_0000002.jpg,1,F640,50,24.166600007447414,38,12,0,72,44,14,0.3181818181818182,0.76
0000006_00611_d_0000002.jpg,1,F1280,69,29.530099986004643,53,16,0,72,44,28,0.6363636363636364,0.7681159420289855
0000006_00611_d_0000002.jpg,1,DensK1,76,29.182300000684336,59,17,0,72,44,34,0.7727272727272727,0.7763157894736842
0000006_00611_d_0000002.jpg,1,UnifAll,93,118.20329999318346,60,33,0,72,44,35,0.7954545454545454,0.6451612903225806
0000006_00611_d_0000002.jpg,1,SAHI640,83,374.5249999919906,45,38,0,72,44,20,0.45454545454545453,0.5421686746987951
0000006_01111_d_0000003.jpg,2,F640,26,16.804200000478886,17,6,0,17,2,2,1.0,0.7391304347826086
0000006_01111_d_0000003.jpg,2,F1280,21,29.051400008029304,17,4,0,17,2,2,1.0,0.8095238095238095
0000006_01111_d_0000003.jpg,2,DensK1,26,37.66280000854749,17,6,0,17,2,2,1.0,0.7391304347826086
0000006_01111_d_0000003.jpg,2,UnifAll,36,117.3555999994278,17,16,0,17,2,2,1.0,0.5151515151515151
0000006_01111_d_0000003.jpg,2,SAHI640,26,290.4695999895921,13,11,0,17,2,0,0.0,0.5416666666666666
0000006_01275_d_0000004.jpg,3,F640,24,18.876100002671592,17,7,0,24,2,1,0.5,0.7083333333333334
0000006_01275_d_0000004.jpg,3,F1280,26,27.980099999695085,18,8,0,24,2,1,0.5,0.6923076923076923
0000006_01275_d_0000004.jpg,3,DensK1,29,39.91550000500865,18,11,0,24,2,1,0.5,0.6206896551724138
0000006_01275_d_0000004.jpg,3,UnifAll,40,110.22269999375567,20,20,0,24,2,2,1.0,0.5
0000006_01275_d_0000004.jpg,3,SAHI640,32,365.058900002623,12,20,0,24,2,1,0.5,0.375
0000006_01659_d_0000004.jpg,4,F640,41,18.87630000419449,23,18,0,36,5,1,0.2,0.5609756097560976
0000006_01659_d_0000004.jpg,4,F1280,42,28.91789999557659,25,17,0,36,5,1,0.2,0.5952380952380952
0000006_01659_d_0000004.jpg,4,DensK1,50,42.20680000435095,25,25,0,36,5,1,0.2,0.5
0000006_01659_d_0000004.jpg,4,UnifAll,61,145.99779999116436,27,34,0,36,5,1,0.2,0.4426229508196721
0000006_01659_d_0000004.jpg,4,SAHI640,38,540.2050999982748,9,29,0,36,5,0,0.0,0.23684210526315788
0000006_02138_d_0000006.jpg,5,F640,30,18.46740000473801,17,13,0,29,0,0,nan,0.5666666666666667
